Wall time,Step,Value
1570131381.3142867,23962,0.0003782216226682067
1570131741.0942345,24108,0.009944808669388294
1570133419.6907904,24789,0.003664335235953331
1570133899.5466428,24984,0.00010081334767164662
1570134140.818175,25082,0.004609682597219944
1570134500.4734828,25228,0.00011765232193283737
1570135220.166158,25520,0.0004825112409889698
1570135939.8390121,25812,0.0007381297764368355
1570136181.0913014,25910,0.015903888270258904
1570136299.610614,25958,0.0008612365927547216
1570136420.0879462,26007,0.0003909465449396521
1570136659.6108012,26104,0.0005388532299548388
1570136779.7086325,26153,0.013592973351478577
1570137139.6946504,26299,0.00015184844960458577
1570137499.5856764,26445,0.0002576925908215344
1570137979.6648002,26640,0.00014231458771973848
1570138100.43986,26689,0.001775297219865024
1570139300.1981075,27176,0.0009125808719545603
1570139780.7140143,27371,0.003178907558321953
1570139901.3152995,27420,0.0028774237725883722
1570140019.7147787,27468,0.0004399168537929654
1570140740.925457,27761,0.0012627795804291964
1570141100.3438156,27907,0.016066066920757294
1570141460.1575422,28053,0.00020866942941211164
1570141700.9197862,28151,0.0027864875737577677
1570141821.2519317,28200,0.00040666747372597456
1570142059.8581843,28297,0.00019892286218237132
1570142180.1818836,28346,0.00472753681242466
1570142300.5128157,28395,0.00010584881965769455
1570142539.5887747,28492,0.00011191155499545857
1570142659.7081048,28541,0.001757523394189775
1570143260.0209148,28785,0.0003217561461497098
1570143380.3758893,28834,0.000363712664693594
1570143621.2957904,28932,3.481522071524523e-05
1570144460.1532488,29273,0.00011578732664929703
1570144700.9797425,29371,0.009866495616734028
1570145421.1752448,29664,0.008940467610955238
1570145539.5808876,29712,0.0004061171493958682
1570146500.9795406,30103,0.0004431300621945411
1570146860.658912,30249,0.0003136610612273216
1570147220.0257535,30395,0.00022115823230706155
1570149140.8530934,31175,0.0069655077531933784
1570149259.5721462,31223,0.0007179111707955599
1570149500.202496,31321,0.0231842789798975
1570149621.2883003,31370,0.0002633036347106099
1570149739.7100155,31418,5.426427014754154e-05
1570149860.1576853,31467,0.0008013170445337892
1570149980.6617599,31516,0.0004122918180655688
1570150340.2020981,31662,0.00020876612688880414
1570150940.5059886,31906,0.0030909532215446234
1570151061.0399418,31955,0.00023211483494378626
1570151900.352716,32296,0.0021161632612347603
1570152139.714103,32393,0.004262413829565048
1570152740.6138144,32637,0.0021268348209559917
1570152861.1598105,32686,4.832566628465429e-05
1570152979.607321,32734,0.00020289028179831803
1570153220.6632676,32832,0.0015175942098721862
1570153459.6869082,32929,0.001216441043652594
1570153580.1810846,32978,7.106213161023334e-05
1570153700.8769608,33027,0.0017918490339070559
1570153940.2863228,33124,0.0006708746659569442
1570154181.291583,33222,0.00037225469714030623
1570154299.6187851,33270,0.00021356213255785406
1570154779.7336488,33465,0.0026144245639443398
